Time,Source,Location,ID,Username,Language,Favorite_count,Retweet_count,User_Followers_count,User_Statuses_Count,User_Friends_Count,Tweet
10/19/2022 5:12,Twitter for Android,Indonesia ,1.5826E+18,Name cannot be blank,in,0,0,46,10594,161,b'Ini distribusi vaksin booster sih shitty af. Utter crap.\nLo bisa ada orang yg udah booster berkali2 sama orang yg setengah mati berbulan-bulan ga dapet sama sekali.\nLagian pake dibedain yg biasa sm gotong royong. Lagian si ngaruh tuh selama merknya beda kan harusnya ga masalah.'
10/19/2022 5:10,Twitter for Android,,1.5826E+18,M.alam,in,0,0,14,2321,65,b'@Obusaja @mailo_cfcf @tatakujiyati Yaudah banyakan mana APBD yg keluar buat bayar gajinya? https://t.co/fC928JSFRe'
10/19/2022 5:09,Twitter for Android,"she/her, 20",1.5826E+18,Zeldaâ·,in,1,0,236,27175,419,"b'@hhese_ Kalo emang belom diharuskan booster kamunya ya kamu boleh masuk kemana2. Adekku 16thn, dia belom harus booster jdi di pedulilindungi aman2 aja pas scan lrn emg msh dibawah umur dia, sementara aku 21thn udh wajib di booster. Setau aku yang g wajib itu smpe 20thn deh, jdi kmu aman'"
10/19/2022 5:06,Twitter for iPhone,Blitar Jatim,1.5826E+18,RA ðŸ€,in,0,0,344,9871,358,"b'Kesel banget bru beli tas mlh salah ukuran dan beli lagi , trus liat teel ngakak dunk liat bam sm jeb online \xf0\x9f\x98\x80\xf0\x9f\x98\x80 mood booster emang duo tom &amp"
10/19/2022 5:06,Twitter for Android,,1.5826E+18,Obu,in,0,0,508,5677,1761,b'@booster_lah @mailo_cfcf @tatakujiyati Dana ooeraaional kan dari apbd juga sumbernya. Emang dana operasional dari uang pribadi?'
10/19/2022 5:05,Twitter Web App,"Kota Palembang, Sumatera Selat",1.5826E+18,Abdi Surya,in,0,0,4625,46013,1987,b'Ada yg habis booster jadi mudah gatel2 ga? Ini kok badan sering amat bentol2'
10/19/2022 5:05,Twitter for Mac,RULES & PARTNERSHIP:,1.5826E+18,OPHELLA UNDERWEAR GIVEAWAY ðŸ“Œ,in,3,0,1215183,1531039,43743,b'[bb] klean ada yg pernah mukanya tuh ada jerawat &gt
10/19/2022 5:02,Twitter for Android,#snowballpower #brightwin's,1.5826E+18,Nehaa || à¸§à¸´à¸™à¹€à¸™à¸®à¸²âœ¨ðŸ°,in,0,0,256,1944,249,b'@prilluvbw Wow makanan mood booster nya aku\xf0\x9f\x99\x88\n\nMet mam kak al\xf0\x9f\xa5\xb0'
10/19/2022 5:01,KAI121,,1.5826E+18,Kereta Api Indonesia,in,0,0,1067941,1115411,18,"b'@IdaEgga Selamat siang Kak. Jika akan menggunakan KA Jarak Jauh, maka usia 18 tahun ke atas wajib telah mendapatkan vaksinasi dosis ketiga (Booster). Bila usia 6-17 tahun untuk perjalanan KA Jarak Jauh wajib sudah vaksin dosis kedua. |1'"
10/19/2022 5:01,Twitter for Android,,1.5826E+18,M.alam,in,0,0,14,2321,65,b'@JenderalAD @JimmySimbar5 Salah satu contoh karya TGUPP nih'
